ID,Platte,Library,Barcode,BGI_Sample,ID...6,Location,organ,age,sex,sample_id,Sample_loc,Name
Bone_5-m-3,P5,VW16,28,Bone_05,Bone_5-m-3,D4,Bone,3,m,Bone_5-m-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Bone_05/V350027368_L04_28_1.fq.gz,Bone_5-m-3
GAT_5-m-9,P5,VW16,29,GAT_05,GAT_5-m-9,E4,GAT,9,m,GAT_5-m-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/GAT_05/V350027368_L04_29_1.fq.gz,GAT_5-m-9
Brain_5-m-9,P5,VW16,2,Brain_05,Brain_5-m-9,B3,Brain,9,m,Brain_5-m-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Brain_05/V350027368_L04_2_1.fq.gz,Brain_5-m-9
Heart_7-m-24,P5,VW16,30,Heart_07,Heart_7-m-24,F4,Heart,24,m,Heart_7-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Heart_07/V350027368_L04_30_1.fq.gz,Heart_7-m-24
Liver_28-m-3,P5,VW16,31,Liver_28,Liver_28-m-3,G4,Liver,3,m,Liver_28-m-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Liver_28/V350027368_L04_31_1.fq.gz,Liver_28-m-3
Skin_12-m-15,P5,VW16,32,Skin_12,Skin_12-m-15,H4,Skin,15,m,Skin_12-m-15,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Skin_12/V350027368_L04_32_1.fq.gz,Skin_12-m-15
Kidney_37-m-24,P5,VW16,3,Kidney_37,Kidney_37-m-24,C3,Kidney,24,m,Kidney_37-m-24,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Kidney_37/V350027368_L04_3_1.fq.gz,Kidney_37-m-24
Lung_13-m-12,P5,VW16,4,Lung_13,Lung_13-m-12,D3,Lung,12,m,Lung_13-m-12,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBwcimR/Lung_13/V350027368_L04_4_1.fq.gz,Lung_13-m-12
Kidney_20-m-27,P9,VW34,14,Kidney_20,Kidney_20-m-27,F1,Kidney,27,m,Kidney_20-m-27,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Kidney_20/V350028354_L01_14_1.fq.gz,Kidney_20-m-27
Limb_Muscle_13-m-1,P9,VW34,15,Limb_Muscle_13,Limb_Muscle_13-m-1,G1,Limb_Muscle,1,m,Limb_Muscle_13-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Limb_Muscle_13/V350028354_L01_15_1.fq.gz,Limb_Muscle_13-m-1
Marrow_18-m-9,P9,VW34,16,Marrow_18,Marrow_18-m-9,H1,Marrow,9,m,Marrow_18-m-9,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Marrow_18/V350028354_L01_16_1.fq.gz,Marrow_18-m-9
BAT_35-m-18,P9,VW34,1,BAT_35,BAT_35-m-18,A1,BAT,18,m,BAT_35-m-18,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/BAT_35/V350028354_L01_1_1.fq.gz,BAT_35-m-18
MAT_25-f-18,P9,VW34,25,MAT_25,MAT_25-f-18,A2,MAT,18,f,MAT_25-f-18,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/MAT_25/V350028354_L01_25_1.fq.gz,MAT_25-f-18
Pancreas_29-m-1,P9,VW34,26,Pancreas_29,Pancreas_29-m-1,B2,Pancreas,1,m,Pancreas_29-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Pancreas_29/V350028354_L01_26_1.fq.gz,Pancreas_29-m-1
SCAT_28-m-27,P9,VW34,27,SCAT_28,SCAT_28-m-27,C2,SCAT,27,m,SCAT_28-m-27,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/SCAT_28/V350028354_L01_27_1.fq.gz,SCAT_28-m-27
Lung_21-f-1,P9,VW34,28,Lung_21,Lung_21-f-1,D2,Lung,1,f,Lung_21-f-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Lung_21/V350028354_L01_28_1.fq.gz,Lung_21-f-1
Skin_27-f-15,P9,VW34,29,Skin_27,Skin_27-f-15,E2,Skin,15,f,Skin_27-f-15,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Skin_27/V350028354_L01_29_1.fq.gz,Skin_27-f-15
MAT_45-f-21,P9,VW34,2,MAT_45,MAT_45-f-21,B1,MAT,21,f,MAT_45-f-21,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/MAT_45/V350028354_L01_2_1.fq.gz,MAT_45-f-21
Liver_14-m-3,P9,VW34,30,Liver_14,Liver_14-m-3,F2,Liver,3,m,Liver_14-m-3,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Liver_14/V350028354_L01_30_1.fq.gz,Liver_14-m-3
Small_Intestine_13-m-1,P9,VW34,31,Small_Intestine_13,Small_Intestine_13-m-1,G2,Small_Intestine,1,m,Small_Intestine_13-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Small_Intestine_13/V350028354_L01_31_1.fq.gz,Small_Intestine_13-m-1
Spleen_16-m-6,P9,VW34,32,Spleen_16,Spleen_16-m-6,H2,Spleen,6,m,Spleen_16-m-6,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Spleen_16/V350028354_L01_32_1.fq.gz,Spleen_16-m-6
GAT_33-m-6,P9,VW34,3,GAT_33,GAT_33-m-6,C1,GAT,6,m,GAT_33-m-6,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/GAT_33/V350028354_L01_3_1.fq.gz,GAT_33-m-6
Heart_19-f-1,P9,VW34,4,Heart_19,Heart_19-f-1,D1,Heart,1,f,Heart_19-f-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Heart_19/V350028354_L01_4_1.fq.gz,Heart_19-f-1
Kidney_19-f-15,P9,VW35,14,Kidney_19,Kidney_19-f-15,F3,Kidney,15,f,Kidney_19-f-15,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Kidney_19/V350028354_L02_14_1.fq.gz,Kidney_19-f-15
Limb_Muscle_14-m-1,P9,VW35,15,Limb_Muscle_14,Limb_Muscle_14-m-1,G3,Limb_Muscle,1,m,Limb_Muscle_14-m-1,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Limb_Muscle_14/V350028354_L02_15_1.fq.gz,Limb_Muscle_14-m-1
Lung_22-m-21,P9,VW35,16,Lung_22,Lung_22-m-21,H3,Lung,21,m,Lung_22-m-21,/share/data/miRNA/projects/maca_viktoria/F21KTSEUHT0553-01_LIBhugmR/Lung_22/V350028354_L02_16_1.fq.gz,Lung_22-m-21
